date,cumulative_return
2023-10-03,12.214362716643171
2023-10-04,12.026038643336928
2023-10-05,12.020814329546353
2023-10-06,12.547640766232618
2023-10-09,12.314039306741742
2023-10-10,12.406750145119721
2023-10-11,12.437183846089924
2023-10-12,12.291815241728061
2023-10-13,12.353760676672934
2023-10-16,12.327804958951718
2023-10-17,12.422340160875585
2023-10-18,12.046770047267481
2023-10-19,12.005307239406118
2023-10-20,11.88531387345542
2023-10-23,11.934571689194692
2023-10-25,11.761340077949964
2023-10-26,11.309146695414134
2023-10-27,11.45078364706852
2023-10-30,11.44390082096353
2023-10-31,11.426652292893213
2023-11-01,11.392238162368296
2023-11-02,11.35442408159872
2023-11-03,11.292064018575276
2023-11-06,11.541753047516346
2023-11-07,11.43154490422087
2023-11-08,11.372418940210569
2023-11-09,11.250932913176843
2023-11-10,11.347292478646615
2023-11-12,11.367360477651482
2023-11-13,11.208060369848214
2023-11-15,10.981590513309525
2023-11-16,11.210713989551353
2023-11-17,10.976117422671864
2023-11-20,10.723360145949089
2023-11-21,10.78066174641346
2023-11-22,10.822456256737675
2023-11-23,10.731735633137019
2023-11-24,10.644083257318147
2023-11-28,10.82112944688609
2023-11-29,10.825358653287958
2023-11-30,10.811758852309417
2023-12-01,11.039721369931078
2023-12-04,11.285678746164603
2023-12-05,11.189733808773427
2023-12-06,11.317936810680678
2023-12-07,11.258396218591766
2023-12-08,11.119744589103425
2023-12-11,11.095115681233748
2023-12-12,11.131271249688837
2023-12-13,11.037482378306484
2023-12-14,11.396052740691388
2023-12-15,11.463802968736825
2023-12-18,11.584128037150412
2023-12-19,11.658844016916555
2023-12-20,11.428808358901765
2023-12-21,11.218508997429003
2023-12-22,11.099344887635505
2023-12-26,10.878762749813129
2023-12-27,10.995687867982081
2023-12-28,11.03856041131071
2023-12-29,11.153163612239474
2024-01-01,11.105564308814673
2024-01-02,11.3228294220081
2024-01-03,11.247781739779073
2024-01-04,11.77974956464014
2024-01-05,11.78903723360105
2024-01-08,11.830251264615235
2024-01-09,11.812753959697746
2024-01-10,11.73828675677874
2024-01-11,11.720374823782619
2024-01-12,11.705945766646856
2024-01-15,11.402355087486061
2024-01-16,11.36694584957244
2024-01-17,11.204743345218857
2024-01-18,11.050004146280335
2024-01-19,11.138817480719373
2024-01-20,11.109295961522104
2024-01-23,10.726843021809053
2024-01-24,10.701301932166484
2024-01-25,10.751389004062952
2024-01-29,10.9274400862422
2024-01-30,10.306410150094916
2024-01-31,10.382204162865431
2024-02-01,10.183846090056747
2024-02-02,10.357989883074376
2024-02-05,9.959781076374037
2024-02-06,9.94311302761375
2024-02-07,10.127290820133844
2024-02-08,9.905796500538528
2024-02-09,10.036570196533221
2024-02-12,9.8950161704946
2024-02-13,9.952234845343268
2024-02-14,10.0233020980176
2024-02-15,9.978356414295883
2024-02-16,9.978024711832958
2024-02-19,10.13326146446586
2024-02-20,10.217513890040111
2024-02-21,10.093457168918956
2024-02-22,10.070486773363777
2024-02-23,10.108466705364737
2024-02-26,10.017911932995561
2024-02-27,9.873621361638076
2024-02-28,9.778173977941286
2024-02-29,9.772617961687839
2024-03-01,9.898830748817785
2024-03-02,9.920225557674227
2024-03-04,9.950244630565795
2024-03-05,9.488846504684728
2024-03-06,9.467285844596828
2024-03-07,9.649390496723875
2024-03-11,9.67045360311745
2024-03-12,9.674268181440707
2024-03-13,9.707604278961226
2024-03-14,9.61024960610279
2024-03-15,9.804129695662457
2024-03-18,9.788042126212257
2024-03-19,9.939961854216216
2024-03-20,10.028277634960885
2024-03-21,10.138154075793455
2024-03-22,10.21303590679104
2024-03-26,10.460485944107576
2024-03-27,10.647317356330781
2024-03-28,11.01633634629677
2024-04-01,11.025789866489156
2024-04-02,10.953561655194692
2024-04-03,11.1224811344218
2024-04-04,11.079608591093189
2024-04-05,10.900903889210797
2024-04-08,10.905713574922746
2024-04-09,10.930674185255295
2024-04-10,10.991458661580028
2024-04-12,10.990297702959893
2024-04-15,10.736047765154112
2024-04-16,10.533709262790733
2024-04-18,10.432457085993343
2024-04-19,10.807778422754279
2024-04-22,11.094203499460484
2024-04-23,11.040633551703621
2024-04-24,11.155485529479522
2024-04-25,11.098681482709477
2024-04-26,10.163778091051833
2024-04-29,10.32200016585072
2024-04-30,10.482792934737038
2024-05-02,10.415042706691619
2024-05-03,10.49597810763697
2024-05-06,10.377145700306366
2024-05-07,10.39820880669992
2024-05-08,10.276971556513386
2024-05-09,9.954722613815012
2024-05-10,10.085745086656855
2024-05-13,10.143129612736956
2024-05-14,10.07173065759974
2024-05-15,10.07886226055187
2024-05-16,10.19023136246744
2024-05-17,10.157475744256983
2024-05-18,10.175055974790189
2024-05-21,10.183099759515276
2024-05-22,10.185919230449828
2024-05-23,10.322083091466514
2024-05-24,10.339082842689646
2024-05-27,10.43627166431664
2024-05-28,10.39903806285715
2024-05-29,10.288995770793107
2024-05-30,9.973463802968274
2024-05-31,10.108217928517679
2024-06-03,10.469524836221428
2024-06-04,9.796168836553148
2024-06-05,10.338668214611006
2024-06-06,10.486524587444547
2024-06-07,10.92702545816347
2024-06-10,10.756945020316241
2024-06-11,10.838626751803115
2024-06-12,10.970727257649372
2024-06-13,11.098764408325223
2024-06-14,11.176051082178772
2024-06-18,11.164690272824753
2024-06-19,10.997595157143513
2024-06-20,10.953064101500413
2024-06-21,10.832241479392433
2024-06-24,10.745335434115042
2024-06-25,10.733062442988093
2024-06-26,10.871962849323637
2024-06-27,10.886143129612242
2024-06-28,10.801227299112199
2024-07-01,11.06857948420215
2024-07-02,10.884235840450618
